comparison,representation,coefficient,delta,paired_standard_error,paired_z,effective_events
G1_H0-G0_H0,dressed_prompt,Crr,-0.00028741372282912157,0.002653964948740307,-0.10829597541050466,25000.000000000062
G1_H0-G0_H0,dressed_prompt,Cnn,0.003450445527810382,0.0023713235335538854,1.4550715998838102,25000.000000000062
G1_H0-G0_H0,dressed_prompt,Ckr,0.0021348752883043835,0.0025084927102420325,0.8510589963398377,25000.000000000062
G1_H0-G0_H0,dressed_prompt,Crk,-0.0006047305776841898,0.0027505864353390285,-0.21985514431203565,25000.000000000062
G1_H0-G0_H0,dressed_prompt,Ckn,-0.0004370840569721662,0.0024233121153794646,-0.18036638953695963,25000.000000000062
G1_H0-G0_H0,dressed_prompt,Cnk,0.0005301982978076888,0.002619318318744761,0.20241842849469796,25000.000000000062
G1_H0-G0_H0,dressed_prompt,Crn,-0.005497781226353591,0.0024708427194778527,-2.2250632073883687,25000.000000000062
G1_H0-G0_H0,dressed_prompt,Cnr,-0.0006381567334807334,0.0023790065954021073,-0.2682450459423254,25000.000000000062
G0_H1-G0_H0,dressed_prompt,B1k,-0.000609227224549381,0.0009853739703542463,-0.6182700607875415,25000.000000000062
G0_H1-G0_H0,dressed_prompt,B1r,-0.0012397690032796608,0.0010233357203742169,-1.2114978287148013,25000.000000000062
G0_H1-G0_H0,dressed_prompt,B1n,-0.0003824154649815134,0.0009707573300149783,-0.39393518148929446,25000.000000000062
G0_H1-G0_H0,dressed_prompt,B2k,-0.00044206587638347697,0.0010712553105259853,-0.4126615495296103,25000.000000000062
G0_H1-G0_H0,dressed_prompt,B2r,0.00022054743820048794,0.0010055186060786393,0.21933700367871606,25000.000000000062
G0_H1-G0_H0,dressed_prompt,B2n,-9.012517374603543e-05,0.000983366071932821,-0.09164966772637684,25000.000000000062
G0_H1-G0_H0,dressed_prompt,Ckk,-0.0030490658455650578,0.0025385030706366264,-1.201127499444146,25000.000000000062
G0_H1-G0_H0,dressed_prompt,Crr,0.0024280906726565155,0.0025103405329937895,0.9672355765059555,25000.000000000062
G0_H1-G0_H0,dressed_prompt,Cnn,0.0016058679676773252,0.0024042079030452304,0.6679405577376617,25000.000000000062
G0_H1-G0_H0,dressed_prompt,Ckr,0.004553689236866562,0.002496212786874817,1.824239207815149,25000.000000000062
G0_H1-G0_H0,dressed_prompt,Crk,-0.0032185168634678834,0.0027023722126967376,-1.1909968761320548,25000.000000000062
G0_H1-G0_H0,dressed_prompt,Ckn,0.000994321076916426,0.002329393587051308,0.4268583387726673,25000.000000000062
G0_H1-G0_H0,dressed_prompt,Cnk,-0.002645544779399152,0.002484763998641645,-1.0647066606105857,25000.000000000062
G0_H1-G0_H0,dressed_prompt,Crn,-0.0009258972003890058,0.002448026710911228,-0.37822185365140865,25000.000000000062
G0_H1-G0_H0,dressed_prompt,Cnr,0.0007661171737608983,0.002244725688022107,0.3412965681503589,25000.000000000062
G1_H1-G0_H0,dressed_prompt,B1k,-0.0006366512318177666,0.0010256368445860896,-0.6207374814763956,25000.000000000062
G1_H1-G0_H0,dressed_prompt,B1r,-0.0002469526493295852,0.001038720120358047,-0.23774705475471158,25000.000000000062
G1_H1-G0_H0,dressed_prompt,B1n,0.0005503056200410363,0.00092512387207274,0.5948453354771578,25000.000000000062
G1_H1-G0_H0,dressed_prompt,B2k,0.0005812007505305681,0.0010588758409736379,0.5488847020970401,25000.000000000062
G1_H1-G0_H0,dressed_prompt,B2r,-0.0008742248775266597,0.0010296665384004833,-0.8490368919676737,25000.000000000062
G1_H1-G0_H0,dressed_prompt,B2n,0.0002150499195372263,0.0009505349173483579,0.2262409466631024,25000.000000000062
G1_H1-G0_H0,dressed_prompt,Ckk,-0.003951762575483542,0.002511164616586665,-1.5736772290360754,25000.000000000062
G1_H1-G0_H0,dressed_prompt,Crr,-0.0006841656177293065,0.002629970166300819,-0.26014196909755016,25000.000000000062
G1_H1-G0_H0,dressed_prompt,Cnn,0.0006325086141297114,0.002291882460212787,0.27597777159609965,25000.000000000062
G1_H1-G0_H0,dressed_prompt,Ckr,0.0021626760901901454,0.0025505988718630785,0.8479091377510193,25000.000000000062
G1_H1-G0_H0,dressed_prompt,Crk,-0.000977802209253803,0.002609617306762476,-0.3746918012537542,25000.000000000062
G1_H1-G0_H0,dressed_prompt,Ckn,0.0021050449326396265,0.0023979176712370935,0.8778637222993677,25000.000000000062
G1_H1-G0_H0,dressed_prompt,Cnk,-0.0028173631149524033,0.0024412553625376087,-1.1540632570383142,25000.000000000062
G1_H1-G0_H0,dressed_prompt,Crn,-0.000518110142883993,0.002335534847195388,-0.22183789871778717,25000.000000000062
G1_H1-G0_H0,dressed_prompt,Cnr,-0.0025847316262964564,0.002346127129814367,-1.1017014352930519,25000.000000000062
