variant,representation,observable,mean,standard_error,effective_events
G1_H1,bare,opening_ll_tt,1.7110369363400635,0.004293701269523251,25000.000000000062
G1_H1,bare,cp_triple_product,-0.0020084576157849083,0.0029984255986442183,25000.000000000062
G0_H0,dressed_all,lepton_plus_pt_GeV,37.64881627248665,0.11961414684823642,25000.000000000062
G0_H0,dressed_all,lepton_minus_pt_GeV,37.82545013641796,0.12037339677941467,25000.000000000062
G0_H0,dressed_all,delta_phi_ll_lab,1.5999587097105568,0.005758574594711877,25000.000000000062
G0_H0,dressed_all,delta_phi_ll_tt,1.5999823557633905,0.005758069061234569,25000.000000000062
G0_H0,dressed_all,cos_opening_ll_tt,-0.1176255460470252,0.0036178303411624627,25000.000000000062
G0_H0,dressed_all,opening_ll_tt,1.7104468217390063,0.004294387299118692,25000.000000000062
G0_H0,dressed_all,cp_triple_product,-0.001978375209179622,0.002997871210879613,25000.000000000062
G1_H0,dressed_all,lepton_plus_pt_GeV,37.62475084429123,0.11973341175609212,25000.000000000062
G1_H0,dressed_all,lepton_minus_pt_GeV,37.8521135684708,0.12049745582535366,25000.000000000062
G1_H0,dressed_all,delta_phi_ll_lab,1.600937985657037,0.005754608226993814,25000.000000000062
G1_H0,dressed_all,delta_phi_ll_tt,1.6009865646780612,0.005754148233677464,25000.000000000062
G1_H0,dressed_all,cos_opening_ll_tt,-0.11786259399955928,0.003618436248873235,25000.000000000062
G1_H0,dressed_all,opening_ll_tt,1.710800290294275,0.004294498198928107,25000.000000000062
G1_H0,dressed_all,cp_triple_product,-0.002129189594621922,0.002997078916772293,25000.000000000062
G0_H1,dressed_all,lepton_plus_pt_GeV,37.63505111273464,0.11967121339573644,25000.000000000062
G0_H1,dressed_all,lepton_minus_pt_GeV,37.84868217846335,0.12039333129177561,25000.000000000062
G0_H1,dressed_all,delta_phi_ll_lab,1.6009171686192556,0.005754965775691534,25000.000000000062
G0_H1,dressed_all,delta_phi_ll_tt,1.6008963714135171,0.005754346248996497,25000.000000000062
