contrast,representation,coefficient,effect,standard_error,z,effective_events
gamma_main_effect,bare,B2r,-0.001151010160721442,0.0007168149348316147,-1.6057284869375987,25000.000000000062
gamma_main_effect,bare,B2n,0.00038165189724005514,0.0007028521850502202,0.5430044970448308,25000.000000000062
gamma_main_effect,bare,Ckk,-1.3790144909155532e-05,0.0017632149433808757,-0.007821023160519287,25000.000000000062
gamma_main_effect,bare,Crr,-0.00175593120055791,0.0018111216582411883,-0.9695269186185567,25000.000000000062
gamma_main_effect,bare,Cnn,0.0013064644455693937,0.001654673366955299,0.7895603275306043,25000.000000000062
gamma_main_effect,bare,Ckr,-0.00010926284390656846,0.0017566732309836255,-0.06219872995126601,25000.000000000062
gamma_main_effect,bare,Crk,0.0008485814625174354,0.0018556947596780125,0.4572850454482479,25000.000000000062
gamma_main_effect,bare,Ckn,0.0004260413553443491,0.0017051779223598408,0.2498515549361202,25000.000000000062
gamma_main_effect,bare,Cnk,0.0002499248995605404,0.0017825874594874153,0.1402034431636844,25000.000000000062
gamma_main_effect,bare,Crn,-0.0025582386882816136,0.0017305298721324504,-1.4782979071775377,25000.000000000062
gamma_main_effect,bare,Cnr,-0.002021228454776662,0.0016651506648303555,-1.2138411841444892,25000.000000000062
hadron_qed_main_effect,bare,B1k,-0.0004569339600316398,0.0007087343163348819,-0.6447182667753529,25000.000000000062
hadron_qed_main_effect,bare,B1r,-0.00034665156814047023,0.0007230390152919762,-0.4794368779677623,25000.000000000062
hadron_qed_main_effect,bare,B1n,0.00029779815107656174,0.0006812289162617132,0.43714842979764856,25000.000000000062
hadron_qed_main_effect,bare,B2k,-0.0004702420206208475,0.0007482418741934346,-0.6284625825408978,25000.000000000062
hadron_qed_main_effect,bare,B2r,0.0002447044579162219,0.0007205818516466891,0.33959286839797315,25000.000000000062
hadron_qed_main_effect,bare,B2n,-0.0002125848024706653,0.0007012706588320843,-0.3031423028944487,25000.000000000062
hadron_qed_main_effect,bare,Ckk,-0.003964908541405803,0.0017674188765789672,-2.2433326892379455,25000.000000000062
hadron_qed_main_effect,bare,Crr,0.0010763624293509846,0.0018095669575109387,0.5948176854596872,25000.000000000062
hadron_qed_main_effect,bare,Cnn,-0.0005913890559546694,0.0016642631045594267,-0.35534589112412324,25000.000000000062
hadron_qed_main_effect,bare,Ckr,0.0022019335225018782,0.0017589624655860064,1.2518365602351236,25000.000000000062
hadron_qed_main_effect,bare,Crk,-0.0018651631498670693,0.0018489576846744667,-1.0087646490381719,25000.000000000062
hadron_qed_main_effect,bare,Ckn,0.0017212165870333996,0.0016963802218660806,1.0146408009520402,25000.000000000062
hadron_qed_main_effect,bare,Cnk,-0.0030083086404500362,0.0017747075363682818,-1.6951010680926986,25000.000000000062
hadron_qed_main_effect,bare,Crn,0.002101873702134111,0.0017297101907706304,1.215159460439828,25000.000000000062
hadron_qed_main_effect,bare,Cnr,-0.0005892536650406739,0.0016657346465760918,-0.3537500202999808,25000.000000000062
gamma_x_hadron_interaction,bare,B1k,0.0003987653031840957,0.0014174332141422114,0.2813291654276753,25000.000000000062
gamma_x_hadron_interaction,bare,B1r,0.0018231402298040235,0.0014519214694125762,1.255674131288682,25000.000000000062
gamma_x_hadron_interaction,bare,B1n,0.0014697908958739134,0.0013648193176228505,1.0769124358775162,25000.000000000062
gamma_x_hadron_interaction,bare,B2k,-9.772127988146521e-05,0.001496062082647511,-0.06531900047124543,25000.000000000062
gamma_x_hadron_interaction,bare,B2r,0.0001411287944322889,0.0014448557496143156,0.09767673656692809,25000.000000000062
gamma_x_hadron_interaction,bare,B2n,-5.986541721353986e-05,0.0013923827170971815,-0.042994944190593215,25000.000000000062
gamma_x_hadron_interaction,bare,Ckk,-0.0019225697340691668,0.003517061638659605,-0.546640898452346,25000.000000000062
gamma_x_hadron_interaction,bare,Crr,-0.0028082959468305833,0.0036406769922356997,-0.7713664114722903,25000.000000000062
gamma_x_hadron_interaction,bare,Cnn,-0.004287477627049903,0.003316784494036712,-1.292660899361539,25000.000000000062
gamma_x_hadron_interaction,bare,Ckr,-0.004487365050435514,0.0035431280124140633,-1.2664981436496583,25000.000000000062
gamma_x_hadron_interaction,bare,Crk,0.0029460183251480807,0.003703551007449507,0.7954577429127647,25000.000000000062
gamma_x_hadron_interaction,bare,Ckn,0.0015430972641301294,0.003391364291011395,0.45500781742026797,25000.000000000062
gamma_x_hadron_interaction,bare,Cnk,-0.0006403461526311777,0.0035421279846971016,-0.18078007214805247,25000.000000000062
gamma_x_hadron_interaction,bare,Crn,0.006143463462359321,0.00345444325031539,1.7784236176982857,25000.000000000062
gamma_x_hadron_interaction,bare,Cnr,-0.0029097834798415606,0.0033552832886646605,-0.867224383011665,25000.000000000062
gamma_main_effect,dressed_all,B1k,-0.00020556417323959076,0.0007101198263995833,-0.2894781494580045,25000.000000000062
gamma_main_effect,dressed_all,B1r,9.997627713560074e-05,0.0007252731536032055,0.13784637779423092,25000.000000000062
gamma_main_effect,dressed_all,B1n,0.00026675444160017756,0.0006798461919566555,0.3923746940943148,25000.000000000062
gamma_main_effect,dressed_all,B2k,0.0010610001796832733,0.0007490530516814795,1.4164553195551808,25000.000000000062
gamma_main_effect,dressed_all,B2r,-0.0011367688723759786,0.0007161607178742935,-1.5873097253227364,25000.000000000062
gamma_main_effect,dressed_all,B2n,0.0004076110960693493,0.0007024351997592047,0.5802828448931356,25000.000000000062
gamma_main_effect,dressed_all,Ckk,-2.9482349902774123e-05,0.0017617076348770068,-0.016735097991916477,25000.000000000062
gamma_main_effect,dressed_all,Crr,-0.0016806704173093492,0.001810194574691652,-0.9284473839480124,25000.000000000062
gamma_main_effect,dressed_all,Cnn,0.0012523503259220287,0.0016533729032146014,0.757451826800308,25000.000000000062
gamma_main_effect,dressed_all,Ckr,-0.0001400095676414385,0.0017557138989008692,-0.0797450927107707,25000.000000000062
gamma_main_effect,dressed_all,Crk,0.0008169093390392765,0.0018544042840632942,0.44052386314018777,25000.000000000062
gamma_main_effect,dressed_all,Ckn,0.00035169655059733197,0.001704504556624265,0.2063335936712657,25000.000000000062
gamma_main_effect,dressed_all,Cnk,0.00017257796489781387,0.0017807802382592704,0.09691143308424764,25000.000000000062
gamma_main_effect,dressed_all,Crn,-0.0025415597938261794,0.0017291514969425585,-1.4698306066993554,25000.000000000062
gamma_main_effect,dressed_all,Cnr,-0.0020229262287642024,0.0016640882527471253,-1.2156363855250447,25000.000000000062
hadron_qed_main_effect,dressed_all,B1k,-0.0004264782594431029,0.0007085264617009046,-0.6019228391545032,25000.000000000062
hadron_qed_main_effect,dressed_all,B1r,-0.00033070686022325596,0.0007226613492914022,-0.45762356122619124,25000.000000000062
hadron_qed_main_effect,dressed_all,B1n,0.00029364477941400997,0.0006811304307955466,0.43111387501955944,25000.000000000062
hadron_qed_main_effect,dressed_all,B2k,-0.00047550876623811904,0.0007479907819211501,-0.6357147410517755,25000.000000000062
hadron_qed_main_effect,dressed_all,B2r,0.00027020222133396807,0.0007203288486453908,0.375109537598133,25000.000000000062
hadron_qed_main_effect,dressed_all,B2n,-0.00018744166035867963,0.0007013483254719082,-0.2672590117507701,25000.000000000062
hadron_qed_main_effect,dressed_all,Ckk,-0.003957971799215204,0.0017665380881496046,-2.2405244618082705,25000.000000000062
hadron_qed_main_effect,dressed_all,Crr,0.0010085682332871518,0.0018088128829200592,0.5575857197893065,25000.000000000062
hadron_qed_main_effect,dressed_all,Cnn,-0.000602397593801629,0.0016643321245135639,-0.3619455425567132,25000.000000000062
hadron_qed_main_effect,dressed_all,Ckr,0.002313209802847089,0.0017579402762686594,1.3158637037186636,25000.000000000062
hadron_qed_main_effect,dressed_all,Crk,-0.0017907909881018627,0.0018479973085693095,-0.9690441537970989,25000.000000000062
hadron_qed_main_effect,dressed_all,Ckn,0.0017577306871786032,0.0016966011228603801,1.036030604656893,25000.000000000062
hadron_qed_main_effect,dressed_all,Cnk,-0.0029489964105980904,0.0017743777603636255,-1.6619890513019893,25000.000000000062
hadron_qed_main_effect,dressed_all,Crn,0.0020146438470685446,0.0017293318776149076,1.1649839300060432,25000.000000000062
hadron_qed_main_effect,dressed_all,Cnr,-0.0005773855873617718,0.0016657575422937448,-0.34662042506300944,25000.000000000062
gamma_x_hadron_interaction,dressed_all,B1k,0.00038189678613797937,0.0014173093700625948,0.2694519589051423,25000.000000000062
gamma_x_hadron_interaction,dressed_all,B1r,0.0017945538491058336,0.0014512338924617724,1.2365710712982847,25000.000000000062
gamma_x_hadron_interaction,dressed_all,B1n,0.001334276997435148,0.0013642455767348357,0.9780328558063468,25000.000000000062
gamma_x_hadron_interaction,dressed_all,B2k,-6.341261782901577e-05,0.0014955586716440014,-0.0424006219423736,25000.000000000062
gamma_x_hadron_interaction,dressed_all,B2r,0.00011248880093569136,0.0014439526902773159,0.07790338401882649,25000.000000000062
gamma_x_hadron_interaction,dressed_all,B2n,-0.0001903048653478261,0.0013915864350996108,-0.13675389508536273,25000.000000000062
gamma_x_hadron_interaction,dressed_all,Ckk,-0.001887750598320331,0.003516348428002313,-0.5368496999009819,25000.000000000062
gamma_x_hadron_interaction,dressed_all,Crr,-0.002810740156053982,0.0036387799530749787,-0.772440266325735,25000.000000000062
gamma_x_hadron_interaction,dressed_all,Cnn,-0.004456091942572839,0.003315783919308075,-1.3439029957967583,25000.000000000062
gamma_x_hadron_interaction,dressed_all,Ckr,-0.004538177157051516,0.0035416468130651463,-1.2813748509055636,25000.000000000062
gamma_x_hadron_interaction,dressed_all,Crk,0.0028617703475854036,0.0037008999636529536,0.7732633618015193,25000.000000000062
gamma_x_hadron_interaction,dressed_all,Ckn,0.001510023650546175,0.003390851726102508,0.44532281931472634,25000.000000000062
gamma_x_hadron_interaction,dressed_all,Cnk,-0.0007117728453723249,0.0035407518954878514,-0.2010230782561667,25000.000000000062
gamma_x_hadron_interaction,dressed_all,Crn,0.005943835931719471,0.0034538349160152526,1.7209380518328232,25000.000000000062
gamma_x_hadron_interaction,dressed_all,Cnr,-0.0027183083052634226,0.0033523628263437085,-0.8108633957823043,25000.000000000062
gamma_main_effect,dressed_prompt,B1k,-0.00020751773952112232,0.0007099225065323512,-0.29231041080068326,25000.000000000062
