comparison,representation,observable,paired_mean_delta,paired_standard_error,paired_z,effective_events
G1_H0-G0_H0,bare,lepton_plus_pt_GeV,-0.060071317240096594,0.04552803100055621,-1.3194358710431098,25000.000000000062
G1_H0-G0_H0,bare,lepton_minus_pt_GeV,0.006505075256202284,0.03536830975747603,0.1839238374920437,25000.000000000062
G1_H0-G0_H0,bare,delta_phi_ll_lab,0.0009532534691421771,0.0009041075703250771,1.0543584640038235,25000.000000000062
G1_H0-G0_H0,bare,delta_phi_ll_tt,0.0009782186624066394,0.000904293505400947,1.081749074348284,25000.000000000062
G1_H0-G0_H0,bare,cos_opening_ll_tt,-0.00023682489267325265,0.0004806037015469488,-0.49276543628559194,25000.000000000062
G1_H0-G0_H0,bare,opening_ll_tt,0.0003497246850474426,0.0005810506099710012,0.6018833455228564,25000.000000000062
G1_H0-G0_H0,bare,cp_triple_product,-0.00014675897104995348,0.0003830196277641934,-0.38316305591604266,25000.000000000062
G0_H1-G0_H0,bare,lepton_plus_pt_GeV,-0.032715457691531676,0.045116596610429154,-0.7251313296971778,25000.000000000062
G0_H1-G0_H0,bare,lepton_minus_pt_GeV,0.030746913750343836,0.03527884261645255,0.8715397521574243,25000.000000000062
G0_H1-G0_H0,bare,delta_phi_ll_lab,0.0009327204146813351,0.000864729703207228,1.078626547951266,25000.000000000062
G0_H1-G0_H0,bare,delta_phi_ll_tt,0.000888412360017922,0.0008652969973546797,1.0267137904487231,25000.000000000062
